圖名,點名,等級,圖號,標石號碼,標石種類,經度-度,分,秒,緯度-度,分,秒,高程_m,橫坐標_67坐標系統,縱坐標_67坐標系統
新竹,十八尖山,2,9522-1,陸補179,青石,120,58,35.0415,24,47,39.4512,131.919,247610,2743000
苗栗,八卦力山,2,9522-2,內補82,花崗石,120,56,6.9408,24,30,18.8501,1000.923,243430,2710980
苗栗,高埔,2,9522-2,1040,花崗石,120,45,9.7120,24,30,29.7385,232.810,224930,2711340
苗栗,托皿山,2,9522-2,1048,花崗石,120,50,17.2297,24,33,27.8069,157.183,233600,2716810
苗栗,三尖山,2,9522-2,1058,花崗石,120,55,45.5156,24,35,30.9385,418.216,242840,2720590
苗栗,北坑,2,9522-2,1053,花崗石,120,55,33.0431,24,38,54.5559,198.423,242490,2726850
苗栗,綱弦,2,9522-2,1042,花崗石,120,49,17.9040,24,39,42.6127,63.877,231940,2728340
苗栗,八分寮,2,9522-2,1037,花崗石,120,59,26.7542,24,43,14.9607,207.245,249060,2734860
苗栗,尖筆山,2,9522-2,1057,花崗石,120,53,25.3028,24,43,20.7048,102.490,238900,2735040
知本,射馬干,2,9618-3,1159,花崗石,121,1,2.7212,22,44,21.0579,945.023,251780,2515410
台東,猴子山,2,9618-4,內補080,花崗石,121,10,57.7962,22,48,4.6115,117.158,268750,2522290
台東,太巴六九,2,9618-4,7144,花崗石,121,1,22.5026,22,48,35.1220,1062.790,252350,2523220
台東,阿里擺,2,9618-4,1155,花崗石,121,3,44.4694,22,49,30.7375,639.171,256400,2524930
台東,鹿野村,2,9618-4,802,花崗石,121,6,54.3666,22,55,7.2038,372.473,261800,2535290
台東,紅葉山,2,9618-4,1659,花崗石,121,1,52.0675,22,55,17.8462,1575.954,253190,2535610
台東,八里芒,2,9618-4,1157,花崗石,121,13,17.9271,22,55,35.6484,953.399,272730,2536170
玉里,加走山,2,9619-1,1216,花崗石,121,26,54.8017,23,19,26.6866,91.860,295870,2580250
玉里,卓溪山,2,9619-1,1217,花崗石,121,15,37.4912,23,19,46.4868,1129.691,276630,2580810
玉里,石公山,2,9619-1,1211,花崗石,121,21,28.4686,23,20,45.0907,832.681,286590,2582630
玉里,織羅山,2,9619-1,1219,花崗石,121,26,20.0180,23,26,44.0876,1151.794,294840,2593700
玉里,廸佳山,2,9619-1,1203,花崗石,121,18,22.5358,23,27,46.8013,1044.530,281280,2595590
玉里,大港口,2,9619-1,1212,花崗石,121,29,45.2496,23,29,6.2065,248.685,300650,2598090
成功,都歷,2,9619-2,內補088,花崗石,121,17,41.1365,23,0,57.0713,812.137,280210,2546070
成功,新港,2,9619-2,1146,花崗石,121,18,49.3584,23,7,10.5602,1544.286,282130,2557570
成功,石寧山,2,9619-2,1205,花崗石,121,24,6.7233,23,13,28.6039,147.451,291120,2569220
成功,萬人山,2,9619-2,1202,花崗石,121,18,31.0750,23,14,3.5705,886.099,281580,2570270
關山,里龍山,2,9619-3,731,花崗石,121,8,37.6925,23,1,49.2984,276.436,264730,2547660
關山,加奈鹿山,2,9619-3,7232,花崗石,121,5,43.1252,23,2,22.5767,1822.533,259760,2548680
關山,楠山,2,9619-3,1669,花崗石,121,7,6.1368,23,4,15.6605,1621.338,262120,2552160
關山,四方山,2,9619-3,1672,花崗石,121,0,8.6678,23,4,40.7365,2558.340,250240,2552920
關山,唉唉山,2,9619-3,1671,花崗石,121,5,23.8857,23,7,44.1679,1360.962,259210,2558570
關山,網調口,2,9619-3,1154,花崗石,121,12,35.2331,23,9,16.2668,422.567,271480,2561410
關山,崙天山,2,9619-3,1670,花崗石,121,10,2.9800,23,12,43.1319,2117.536,267140,2567770
關山,嘎嘮吧灣,2,9619-3,1151,花崗石,121,12,46.7079,23,0,49.6682,1000.954,271830,2545830
玉里山,大里仙山,2,9619-4,1677,花崗石,121,11,52.0081,23,18,10.0814,2043.119,270220,2577830
玉里山,尖山,2,9619-4,,花崗石,121,1,7.2575,23,24,28.1319,3069.879,251900,2589450
池南,鳳林山,2,9620-1,1208,花崗石,121,25,24.2743,23,46,14.2362,821.692,293150,2629690
池南,大安山,2,9620-1,1454,花崗石,121,18,18.4861,23,49,13.3847,2828.324,281080,2635170
池南,壽山,2,9620-1,1207,花崗石,121,29,0.5762,23,52,17.8023,501.247,299240,2640890
池南,千谷寒山,2,9620-1,1464,花崗石,121,22,22.9422,23,52,36.8975,1986.666,287990,2641450
池南,望台山,2,9620-1,1470,花崗石,121,19,16.3196,23,56,42.4383,2906.589,282690,2648990
池南,能高山南峰,2,9620-1,1453,花崗石,121,16,11.7915,23,58,1.7933,3349.436,277470,2651420
光復,烏漏山,2,9620-2,1210,花崗石,121,24,27.9406,23,31,26.8297,464.882,291630,2602390
光復,秀朗山,2,9620-2,1209,花崗石,121,25,53.3066,23,35,38.5699,648.427,294030,2610140
光復,馬錫山,2,9620-2,1218,花崗石,121,22,27.2989,23,39,43.3342,1192.524,288170,2617650
萬大,卓社大山,2,9620-4,1455,花崗石,121,6,27.6733,23,50,10.8682,3368.814,260970,2636910
萬大,于卓萬山,2,9620-4,1460,花崗石,121,7,51.0669,23,52,40.1819,3283.771,263320,2641500
萬大,螺婆間山,2,9620-4,1461,花崗石,121,3,48.2822,23,53,56.8131,1757.716,256450,2643860
萬大,橫屏山,2,9620-4,內補055,花崗石,121,0,37.8934,23,56,51.1595,1508.331,251070,2649220
萬大,麻屏暮山,2,9620-4,1458,花崗石,121,11,33.0046,23,59,5.3712,2617.464,269580,2653360
萬大,關頭山,2,9620-4,1468,花崗石,121,5,32.7458,23,59,27.2866,1535.532,259400,2654020
環山,無名山,2,9621-1,1450,花崗石,121,22,35.4171,24,15,25.6986,3450.657,288230,2683560
環山,捫山,2,9621-1,1467,花崗石,121,18,6.1497,24,15,37.7994,3168.267,280630,2683910
環山,西吉南山,2,9621-1,1457,花崗石,121,28,44.3434,24,19,18.8016,2693.937,298610,2690760
環山,平岩山,2,9621-1,1466,花崗石,121,20,46.5569,24,20,53.9334,2827.467,285130,2693650
環山,加留坪,2,9621-1,1549,花崗石,121,18,47.2213,24,27,6.3116,3132.994,281740,2705100
環山,見晴山,2,9621-1,1550,花崗石,121,28,11.3526,24,27,26.6685,2491.528,297630,2705770
大禹嶺,白葉山,2,9621-2,4316,花崗石,121,29,22.3243,24,0,0.0683,1984.418,299800,2655120
大禹嶺,見晴台,2,9621-2,1449,花崗石,121,23,46.4323,24,1,19.5264,1689.266,290300,2657530
大禹嶺,夫婦山,2,9621-2,6013,花崗石,121,27,12.8141,24,1,35.5895,2051.537,296130,2658040
大禹嶺,榮山,2,9621-2,1456,花崗石,121,28,10.3265,24,3,9.6807,2383.405,297750,2660940
大禹嶺,奇萊主山南峯,2,9621-2,1469,花崗石,121,16,17.9844,24,3,46.8324,3358.024,277620,2662030
大禹嶺,太魯閣大山,2,9621-2,1463,花崗石,121,24,46.1878,24,4,51.1502,3282.911,291970,2664050
大禹嶺,空巴尾,2,9621-2,1448,花崗石,121,23,28.5497,24,10,44.9520,2396.784,289750,2674920
大禹嶺,北合歡山,2,9621-2,1451,花崗石,121,16,24.3557,24,10,59.8337,3422.246,277780,2675350
大禹嶺,椎巴宇,2,9621-2,1459,花崗石,121,27,31.0876,24,12,50.7117,1795.281,296580,2678810
